Sentence,Word,Lemma,Word Frequency,Log Probability
57,dana,dan,79017,-7.330723506004008
57,počinje,počinjati,16330,-8.907382618212054
57,škola,škola,63851,-7.543834281131397
58,od,od,1078904,-4.716685535164165
58,sutra,sutra,642,-12.143553500486604
58,smo,biti,5835707,-3.028635822432384
58,sami,sam,46032,-7.871049718385236
58,u,u,4289454,-3.336471794099499
58,kući,kuća,44552,-7.903729478907061
59,petar,petar,17337,-8.847543579190678
59,će,hteti,80522,-7.31185608618188
59,doći,doći,36187,-8.111686586882403
59,u,u,4289454,-3.336471794099499
59,ponedeljak,ponedeljak,589,-12.229715620524978
60,moj,moj,8664,-9.54121001549574
60,sin,sin,39300,-8.029162006319213
60,ide,ići,12309,-9.190055823066269
60,prvi,prvi,230461,-6.260304874470182
60,put,put,90418,-7.195943162572819
60,sam,biti,5835707,-3.028635822432384
60,na,na,1602609,-4.3209983199920226
60,more,more,14085,-9.055276123866092
61,demonstracije,demonstracija,2361,-10.841301267091053
61,su,biti,5835707,-3.028635822432384
61,opet,opet,5426,-10.009184310957687
61,počele,početi,48387,-7.821155342591273
62,pojavio,pojaviti,14098,-9.054353581842744
62,se,sebe,1544095,-4.358193268005097
62,u,u,4289454,-3.336471794099499
62,poslednjem,poslednji,43545,-7.926591639049725
62,trenutku,trenutak,9422,-9.45733914491658
63,sanjao,sanjati,768,-11.964352071028893
63,sam,biti,5835707,-3.028635822432384
63,te,te,4930,-10.105047537139829
63,pre,pre,52610,-7.737480309451712
63,neku,neki,87202,-7.232159258762699
63,noć,noć,9062,-9.496296678949482
64,premijer,premijer,8382,-9.574299975691549
64,je,biti,5835707,-3.028635822432384
64,obećao,obećati,1969,-11.02286072553744
64,viši,visok,45904,-7.873834265955419
64,standard,standard,7326,-9.708956860837805
65,sutra,sutra,642,-12.143553500486604
65,je,biti,5835707,-3.028635822432384
65,doček,doček,347,-12.758817024229707
65,nove,nov,162134,-6.611963371376929
65,godine,godina,1038137,-4.755203485592052
66,nadam,nadati,1992,-11.011247366032022
66,se,sebe,1544095,-4.358193268005097
